agent,from_x,from_y,to_x,to_y,time_step
0,-1.85,1.6039558930649396,-1.085042295615751,1.8,0
1,-0.36005276409541254,-1.6673990445696971,-1.0747661856285782,-1.8,0
1,-1.0747661856285782,-1.8,-1.5356738975886952,-1.6683726063927822,1
1,-1.5356738975886952,-1.6683726063927822,-1.3501540390293012,-0.7186653837238852,2
1,-1.3501540390293012,-0.7186653837238852,-0.4754119359862845,-0.13898357908720982,3
2,0.9970562161335024,-0.7861032876490808,0.328011709264838,-0.42240911079532517,0
2,0.328011709264838,-0.42240911079532517,0.4624686783967178,0.2823393580872755,1
2,0.4624686783967178,0.2823393580872755,0.9189717674318008,0.9765463649240289,2
2,0.9189717674318008,0.9765463649240289,1.85,0.795814677655289,3
2,1.85,0.795814677655289,-0.01117373006850264,1.5448542893508799,4
