agent,from_x,from_y,to_x,to_y,time_step
1,-0.5890273804878692,-0.2566010684778648,-0.6805997694374462,-1.8,0
1,-0.6805997694374462,-1.8,-0.6805997694374462,-1.8,1
1,-0.6805997694374462,-1.8,-0.6805997694374462,-1.8,2
1,-0.6805997694374462,-1.8,-0.6805997694374462,-1.8,3
1,-0.6805997694374462,-1.8,-1.4093490693001351,-1.7796523332045961,4
1,-1.4093490693001351,-1.7796523332045961,-1.4093490693001351,-1.7796523332045961,5
1,-1.4093490693001351,-1.7796523332045961,-1.4093490693001351,-1.7796523332045961,6
1,-1.4093490693001351,-1.7796523332045961,-1.4093490693001351,-1.7796523332045961,7
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,8
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,9
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,10
1,-1.537291351124059,-0.6464723889326294,-1.85,-1.5507506004046994,11
1,-1.85,-1.5507506004046994,-1.85,-1.5507506004046994,12
1,-1.85,-1.5507506004046994,-1.85,-1.5507506004046994,13
1,-1.85,-1.5507506004046994,-1.85,-1.5507506004046994,14
1,-1.85,-1.5507506004046994,-1.537291351124059,-0.6464723889326294,15
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,16
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,17
1,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,18
1,-1.537291351124059,-0.6464723889326294,-0.5890273804878692,-0.2566010684778648,19
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,20
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,21
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,22
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,23
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,24
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,25
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,26
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,27
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,28
1,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,29
2,-0.5890273804878692,-0.2566010684778648,-0.933632671762138,1.8,0
2,-0.933632671762138,1.8,-0.933632671762138,1.8,1
2,-0.933632671762138,1.8,-0.933632671762138,1.8,2
2,-0.933632671762138,1.8,-0.933632671762138,1.8,3
2,-0.933632671762138,1.8,-1.7209262554876688,1.7680015234021924,4
2,-1.7209262554876688,1.7680015234021924,-1.7209262554876688,1.7680015234021924,5
2,-1.7209262554876688,1.7680015234021924,-1.7209262554876688,1.7680015234021924,6
2,-1.7209262554876688,1.7680015234021924,-1.7209262554876688,1.7680015234021924,7
2,-1.7209262554876688,1.7680015234021924,-1.537291351124059,-0.6464723889326294,8
2,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,9
2,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,10
2,-1.537291351124059,-0.6464723889326294,-1.537291351124059,-0.6464723889326294,11
2,-1.537291351124059,-0.6464723889326294,-0.5890273804878692,-0.2566010684778648,12
2,-0.5890273804878692,-0.2566010684778648,-0.5890273804878692,-0.2566010684778648,13
